source_term,canonical_system,skill_id,layer,confidence
升级,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
赐福,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
属性提升,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
武器强化,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
记忆石,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
护符皮袋,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
灵药圣杯瓶,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
武器熟练,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
法术学派,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
制作,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
潜行,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
骑乘,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
探索,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
学识,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
交涉,技能与熟练系统,SkillProficiencySystem,02_角色构建层,0.85
护符,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
大卢恩,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
卢恩弯弧,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
追忆,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
烙印,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
赐福,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
癫火印记,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
龙化倾向,专长、天赋与特性系统,FeatTraitSystem,02_角色构建层,0.85
武器,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
盾牌,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
护具,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
护符,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
战灰,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
质变,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
负重,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
强化,装备构建系统,EquipmentBuildSystem,02_角色构建层,0.85
魔法,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
祷告,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
战技,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
骨灰,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
记忆格,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
法杖,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
圣印记,法术与能力列表系统,SpellAbilityListSystem,02_角色构建层,0.85
近战,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
远程,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
法师,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
坦克,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
辅助,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
召唤,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
异常流,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
机动,角色定位与战术角色系统,TacticalRoleSystem,02_角色构建层,0.85
当前HP,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
当前FP,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
精力,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
卢恩,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
圣杯瓶,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
状态异常,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
装备,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
任务旗标,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
赐福位置,角色状态快照系统,CharacterSnapshotSystem,02_角色构建层,0.85
战技,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
武器技能,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
被动效果,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
Boss招式,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
护符效果,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
骨灰能力,能力实体系统,AbilityEntitySystem,03_内容实体层,0.85
直剑,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
大剑,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
特大剑,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
刀,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
长枪,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
斧,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
弓,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
弩,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
法杖,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
圣印记,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
战灰,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
质变,武器实体系统,WeaponEntitySystem,03_内容实体层,0.85
头盔,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
胸甲,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
臂甲,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
腿甲,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
盾牌,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
减伤率,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
抗性,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
韧性,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
重量,护具与防御装备系统,ArmorDefenseEntitySystem,03_内容实体层,0.85
圣杯瓶,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
灵药圣杯瓶,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
卢恩弯弧,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
油脂,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
壶,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
箭矢,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
苔药,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
制作材料,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
钥匙道具,道具与消耗品系统,ItemConsumableEntitySystem,03_内容实体层,0.85
辉石魔法,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
卡利亚魔法,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
重力魔法,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
黄金律法祷告,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
龙祷告,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
黑焰,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
癫火,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
死亡魔法,法术实体系统,SpellEntitySystem,03_内容实体层,0.85
士兵,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
骑士,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
野兽,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
龙,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
亚人,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
腐败眷属,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
Boss,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
半神,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
入侵者,敌对单位与怪物系统,EnemyMonsterEntitySystem,03_内容实体层,0.85
商人,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
导师,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
圆桌NPC,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
任务NPC,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
半神NPC,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
敌对NPC,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
入侵者,NPC 实体系统,NPCEntitySystem,03_内容实体层,0.85
赐福,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
玛莉卡楔石,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
雾门,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
升降机,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
灵魂气流,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
毒沼,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
腐败沼泽,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
地下河,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
风暴,环境实体系统,EnvironmentEntitySystem,03_内容实体层,0.85
陷阱,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
机关,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
战车,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
弩炮,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
升降机,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
封印,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
石剑钥匙,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
隐藏墙,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
传送陷阱,陷阱与机关系统,TrapMechanismSystem,03_内容实体层,0.85
中毒,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
猩红腐败,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
发狂,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
死亡疫病,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
诅咒,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
冻伤,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
睡眠,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
出血,疾病、毒素与诅咒系统,DiseaseToxinCurseSystem,03_内容实体层,0.85
巡逻,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
伏击,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
野外Boss,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
地牢遭遇,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
入侵,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
护送,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
Boss战,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
多阶段战斗,遭遇实体系统,EncounterEntitySystem,03_内容实体层,0.85
卢恩,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
固定拾取,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
敌人掉落,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
Boss追忆,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
宝箱,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
商店,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
任务奖励,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
战灰,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
制作书,奖励与掉落系统,RewardLootSystem,03_内容实体层,0.85
交界地,世界观系统,WorldviewSystem,04_叙事运行层,0.85
艾尔登法环,世界观系统,WorldviewSystem,04_叙事运行层,0.85
黄金树,世界观系统,WorldviewSystem,04_叙事运行层,0.85
黄金律法,世界观系统,WorldviewSystem,04_叙事运行层,0.85
破碎战争,世界观系统,WorldviewSystem,04_叙事运行层,0.85
褪色者,世界观系统,WorldviewSystem,04_叙事运行层,0.85
半神,世界观系统,WorldviewSystem,04_叙事运行层,0.85
赐福,世界观系统,WorldviewSystem,04_叙事运行层,0.85
影之地,世界观系统,WorldviewSystem,04_叙事运行层,0.85
宁姆格福,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
啜泣半岛,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
湖之利耶尼亚,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
盖利德,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
亚坛高原,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
格密尔火山,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
王城,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
巨人山顶,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
天空城,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
圣树,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
地下区域,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
影之地,地图与地点系统,MapLocationSystem,04_叙事运行层,0.85
场景,场景系统,SceneSystem,04_叙事运行层,0.85
赐福旁,场景系统,SceneSystem,04_叙事运行层,0.85
地牢房间,场景系统,SceneSystem,04_叙事运行层,0.85
Boss雾门,场景系统,SceneSystem,04_叙事运行层,0.85
野外营地,场景系统,SceneSystem,04_叙事运行层,0.85
商人营火,场景系统,SceneSystem,04_叙事运行层,0.85
圆桌厅堂,场景系统,SceneSystem,04_叙事运行层,0.85
梅琳娜,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
菈妮,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
圆桌厅堂,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
百智爵士,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
双指,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
半神,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
商人,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
任务线NPC,NPC 与关系网络系统,NPCRelationshipNetworkSystem,04_叙事运行层,0.85
黄金律法,派系系统,FactionSystem,04_叙事运行层,0.85
卡利亚王室,派系系统,FactionSystem,04_叙事运行层,0.85
魔法学院,派系系统,FactionSystem,04_叙事运行层,0.85
红狮子军,派系系统,FactionSystem,04_叙事运行层,0.85
火山官邸,派系系统,FactionSystem,04_叙事运行层,0.85
鲜血王朝,派系系统,FactionSystem,04_叙事运行层,0.85
圣树,派系系统,FactionSystem,04_叙事运行层,0.85
癫火,派系系统,FactionSystem,04_叙事运行层,0.85
古龙,派系系统,FactionSystem,04_叙事运行层,0.85
角人,派系系统,FactionSystem,04_叙事运行层,0.85
任务线,任务系统,QuestSystem,04_叙事运行层,0.85
对话阶段,任务系统,QuestSystem,04_叙事运行层,0.85
交付物,任务系统,QuestSystem,04_叙事运行层,0.85
地点推进,任务系统,QuestSystem,04_叙事运行层,0.85
Boss击败,任务系统,QuestSystem,04_叙事运行层,0.85
结局条件,任务系统,QuestSystem,04_叙事运行层,0.85
不可逆选择,任务系统,QuestSystem,04_叙事运行层,0.85
道具描述,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
对话,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
环境叙事,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
碑文,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
地图碎片,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
谣言,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
赐福指引,线索与信息系统,ClueInformationSystem,04_叙事运行层,0.85
破碎战争,冲突系统,ConflictSystem,04_叙事运行层,0.85
半神争斗,冲突系统,ConflictSystem,04_叙事运行层,0.85
黄金律法裂解,冲突系统,ConflictSystem,04_叙事运行层,0.85
癫火,冲突系统,ConflictSystem,04_叙事运行层,0.85
腐败,冲突系统,ConflictSystem,04_叙事运行层,0.85
鲜血王朝,冲突系统,ConflictSystem,04_叙事运行层,0.85
影之地复仇,冲突系统,ConflictSystem,04_叙事运行层,0.85
关卡前废墟,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
史东薇尔,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
魔法学院,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
